"Id";"Référence";"Boitier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"C6,C11,C8";"c_0805";3;"10uF/6.3V Tantal. 0805/P";;;
2;"J1,J2";"pin_strip_20";2;"HEADER_20";;;
3;"C4,C3";"SM0603_Capa";2;"22pF";;;
4;"C2,C1,C5,C9,C7";"SM0603_Capa";5;"100nF";;;
5;"D1";"LED-0603";1;"Yellow LED";;;
6;"U1";"lqfp44";1;"PIC18F47J53-TQFP44";;;
7;"D3";"LED-0603";1;"Red LED";;;
8;"R3,R2,R7";"SM0603_Resistor";3;"470";;;
9;"R1";"SM0603_Resistor";1;"10K";;;
10;"R5,R4,R6";"SM0603_Resistor";3;"100K";;;
11;"SW1";"smd_push";1;"RESET";;;
12;"LOGO1";"LOGO";1;"OPEN_HARDWARE_1";;;
13;"CON1";"USB_MINI_B";1;"USB-MINI-B";;;
14;"C10";"SM0603_Capa";1;"10nF";;;
15;"D2,D4,D5";"DO-214AC(SMA)";3;"1N5817 (DO-214AC/SMA)";;;
16;"X1";"Q_49U3HMS";1;"8MHz";;;
17;"P1";"pin_strip_6";1;"ICSP";;;
18;"U2";"sot223";1;"AMS1117-3.3V (SOT-223)";;;
19;"U6";"Logo_silk_WEEE_8x10mm";1;"DIAMOND1";;;
20;"U3";"Logo_silk_OSHW_6x6mm";1;"DIAMOND1";;;
21;"Q1";"SOT23";1;"IRLML6402 TRPBF 01AH (SOT-23)";;;
22;"hole_3mm_1,hole_3mm_4,hole_3mm_2,hole_3mm_3";"hole_3mm";4;"VAL**";;;
23;"C12,C13";"SM0603_Capa";2;"10pF";;;
24;"X2";"QMONTRE";1;"32768Hz";;;
